File Name,Naive F1 Score 69,Naive F1 Score 71,Naive F1 Score 72,Ground F1 Score 69,Ground F1 Score 71,Ground F1 Score 72
64.midi,0.14993160054719562,0.10853146853146853,0.13616317530319735,0.0,0.1387200572041473,0.0
33.midi,0.03629947063271994,0.1381453154875717,0.13099808061420345,0.0,0.18413507486460656,0.0
1148.midi,0.009149828440716736,0.021220159151193633,0.008390541571319604,0.0,0.026415094339622643,0.0
254.midi,0.012260536398467433,0.01732484076433121,0.033855482566953005,0.0,0.018162393162393164,0.0
72.midi,0.16795683790757682,0.021281986318723082,0.4266720386784851,0.0,0.0,0.4266720386784851
628.midi,0.0,0.0292781423523473,0.030272452068617558,0.0,0.0,0.030272452068617558
782.midi,0.0024106066693451184,0.037110146071851556,0.14130841121495327,0.0024106066693451184,0.0,0.0
805.midi,0.0406015037593985,0.00764525993883792,0.014224028448056897,0.0,0.011380880121396054,0.0
956.midi,0.19735927727588604,0.2524141028520099,0.3152197445334488,0.11935303959843838,0.2688728024819028,0.3757115749525617
110.midi,0.008175779253960144,0.04758327072376659,0.14953714692618086,0.008976157082748949,0.0,0.0
393.midi,0.03325774754346183,0.03523785552479235,0.0,0.0,0.039693790757017296,0.0
901.midi,0.051687442991790816,0.09512485136741974,0.04276114844227245,0.05941978329255505,0.0,0.0
844.midi,0.09339853300733496,0.08825692571708753,0.04659318637274549,0.0,0.14336917562724014,0.0
1172.midi,0.13761467889908258,0.17635933806146573,0.1789423984891407,0.0430828147438966,0.1381692573402418,0.4606741573033708
171.midi,0.09205020920502092,0.08261192184021766,0.15384615384615385,0.1753607103218646,0.01922499249023731,0.0
1056.midi,0.0,0.012718600953895072,0.06321660985435389,0.0,0.0,0.0
624.midi,0.006136537969828688,0.04757135703555333,0.044633901705115345,0.0,0.0,0.11543450064850844
1187.midi,0.005548549810844893,0.0343027591349739,0.017548257708698924,0.0,0.0,0.018257694314032343
448.midi,0.002104709287029729,0.0,0.0,0.0036068530207394047,0.0,0.0
